arch,estimator,p_mismatch,n_mc,n_valid,p_invalid,p_err<0.1deg,p_err<0.1deg_lo,p_err<0.1deg_hi,p_err<1.0deg,p_err<1.0deg_lo,p_err<1.0deg_hi,p_err<5.0deg,p_err<5.0deg_lo,p_err<5.0deg_hi,median_err_deg,iqr_err_deg,mean_err_deg,p95_err_deg,p_catastrophic
M5_quasars_50,ls,0.0,2000,2000,0.0,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.01529956212305445,0.012227474281167425,0.016229430525074653,0.03146500405133726,0.0
M5_quasars_50,ls,0.05,2000,2000,0.0,0.285,0.26564309361769695,0.30518123671324165,0.4525,0.4307978320303002,0.4743842874614188,0.885,0.8702743628704945,0.8982495107229407,1.345643527851124,3.2994390094170445,2.0508581963641586,6.593013334339943,0.0
M5_quasars_50,ls,0.2,2000,2000,0.0,0.004,0.0020282466069651696,0.007873464296037741,0.0335,0.026465276470638475,0.042323328642770504,0.3985,0.37725746805292776,0.4201316925451665,5.9903628713449635,5.3277696616405095,6.786379202439244,14.89048715664004,0.0
M5_quasars_50,ls,0.5,2000,2000,0.0,0.0005,8.826773070546787e-05,0.0028268625032662133,0.0025,0.0010683087284139143,0.005839153316432755,0.074,0.06332620153509969,0.08630712274852781,14.767849120547169,13.171976294712977,16.972870815428543,36.9925584724826,0.111
M5_quasars_50,ransac,0.0,2000,2000,0.0,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.015004327523752,0.011656769583301576,0.01603983735102931,0.0317861078046668,0.0
M5_quasars_50,ransac,0.05,2000,2000,0.0,0.9705,0.9621349108960856,0.9770611476122554,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.01651798670349315,0.013620828541919249,0.02209220831281352,0.044706767519326944,0.0
M5_quasars_50,ransac,0.2,2000,2000,0.0,0.856,0.8399302416150259,0.8707048207207219,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.02189254600129415,0.032192669739789355,0.04657730008520669,0.18452261318505417,0.0
M5_quasars_50,ransac,0.5,2000,2000,0.0,0.5915,0.5698015190680913,0.6128476612794395,0.999,0.9963610657309615,0.9997257210823479,1.0,0.9980829527187469,0.9999999999999998,0.060353302338133255,0.14770547400973397,0.11547319580777009,0.35498565231123397,0.0
M7_hybrid_all,huber,0.0,2000,2000,0.0,0.9205,0.9078221139475915,0.9315656492888746,0.9995,0.9971731374967338,0.9999117322692944,1.0,0.9980829527187469,0.9999999999999998,0.04592492616534685,0.03983562334865944,0.053032411534252685,0.11581207097274714,0.0
M7_hybrid_all,huber,0.05,2000,2000,0.0,0.8525,0.8362835405748967,0.86736494109182,0.996,0.9921265357039621,0.9979717533930348,1.0,0.9980829527187469,0.9999999999999998,0.05215933629553515,0.04485841036580185,0.07296433961794818,0.14832001372214168,0.0
M7_hybrid_all,huber,0.2,2000,2000,0.0,0.5415,0.5196037857127578,0.5632370993628981,0.8395,0.8227641986329085,0.8549341262631208,0.9505,0.9400999950103993,0.9591727453891917,0.089328946167485,0.2153946421275615,1.0561621425769308,4.75191546013881,0.004
M7_hybrid_all,huber,0.5,2000,2000,0.0,0.0355,0.028239876230264,0.04454106069401996,0.108,0.0951409941930465,0.12236197087545578,0.278,0.25880510580024996,0.2980460631926263,12.338691805425949,20.404282497760107,17.44876747006741,51.963859137353246,0.178
M7_hybrid_all,ls,0.0,2000,2000,0.0,0.025,0.019014423503992475,0.032806771413197815,0.5885,0.5667832809403786,0.6098774016908397,0.992,0.9870439223284629,0.995069703146784,0.849553313807969,0.8832541387378327,1.0661432454382507,2.6781794925836104,0.0
M7_hybrid_all,ls,0.05,2000,2000,0.0,0.0135,0.009294493997659236,0.019570793006999862,0.3165,0.2964842974069462,0.33721925894527355,0.757,0.737722072000444,0.775292565696992,1.811140249123711,3.9748135181177537,3.3933423302968584,10.885624824190348,0.0
M7_hybrid_all,ls,0.2,2000,2000,0.0,0.002,0.0007780273070510575,0.005131351785076866,0.097,0.08479131615107749,0.11075382395761238,0.3475,0.3269413555414848,0.36864334387929726,7.686591459233893,9.41695709134625,9.306121340130652,24.942146028574292,0.0255
M7_hybrid_all,ls,0.5,2000,2000,0.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0045,0.0023692806369618345,0.008530513218759823,0.0585,0.049036041566208714,0.06965671118313761,20.243858488152803,19.716578382060433,24.71620170172667,59.83077713099836,0.2795
M7_hybrid_all,ransac,0.0,2000,2000,0.0,0.2735,0.2544123895523303,0.2934560328660772,0.998,0.994868648214923,0.9992219726929489,1.0,0.9980829527187469,0.9999999999999998,0.2010459861071766,0.25259542779996885,0.24008404286519344,0.5906819090326485,0.0
M7_hybrid_all,ransac,0.05,2000,2000,0.0,0.2875,0.2680866483826091,0.30772809671192325,0.997,0.9934700849260646,0.9986243700763698,1.0,0.9980829527187469,0.9999999999999998,0.20556252590561241,0.2742325316246945,0.24743692468502848,0.6320674655634971,0.0
M7_hybrid_all,ransac,0.2,2000,2000,0.0,0.2795,0.26026989271326295,0.2995755251377695,0.9855,0.9792532244366937,0.9898853226532097,1.0,0.9980829527187469,0.9999999999999998,0.22532373714647824,0.3164113613796035,0.2805399181635208,0.711491593931349,0.0
M7_hybrid_all,ransac,0.5,2000,2000,0.0,0.31,0.29011111370616144,0.3306173642607146,0.9135,0.9003740477452268,0.9250405541531769,0.9855,0.9792532244366937,0.9898853226532097,0.23586803925672156,0.4425784420522497,1.0470125373040984,1.34222999444346,0.007
