source_id,source_class,ra_deg,dec_deg,distance_optional,proper_motion_ra_optional,proper_motion_dec_optional,radial_velocity_optional,metadata_json_optional
6126469654585981952,star,182.08939329942345,-50.72248107334658,174.88837441339714,-42.613146390430266,-11.13481692698886,,"{""phot_g_mean_mag"": 2.508257}"
5917537534527580160,star,254.6549130347896,-55.99029939641002,173.23563360376355,-17.51823774702156,-36.120035038888346,,"{""phot_g_mean_mag"": 2.5107856}"
5361403934691772160,star,161.6928645043898,-49.420476913951866,34.4227157367,68.53673565077756,-48.81915516222894,,"{""phot_g_mean_mag"": 2.5133939}"
4076915349846977664,star,276.99244340050245,-25.422523033637848,23.29925119013489,-46.15155339413359,-185.0673601254817,,"{""phot_g_mean_mag"": 2.5435061}"
5306951892646516992,star,142.80522590576416,-57.03435042166543,68.38356551022777,-32.615183222963346,5.856565752556893,,"{""phot_g_mean_mag"": 2.5465453}"
1297565458994346240,star,247.554529319034,21.48954466071868,45.44988800171072,-98.82186841087012,-14.869239096336226,,"{""phot_g_mean_mag"": 2.547638}"
1415230383034813824,star,262.6080575941285,52.30144332961535,112.10992967926421,-16.12587706896328,11.35753620699344,,"{""phot_g_mean_mag"": 2.5482864}"
2971266110612490624,star,83.18258484252563,-17.822282254766677,594.6294697520444,3.3641908258333144,1.4840057540654934,,"{""phot_g_mean_mag"": 2.5535128}"
6247207266946218112,star,241.3592690276793,-19.80555058042707,,,,,"{""phot_g_mean_mag"": 2.5550153}"
4337352305320149760,star,249.28979755823173,-10.56697607712102,134.97379169646157,10.464966834036836,24.741567563021235,,"{""phot_g_mean_mag"": 2.5565956}"
1244946371540479616,star,208.67086285879768,18.39612273503526,,,,,"{""phot_g_mean_mag"": 2.5583582}"
3990320597065899776,star,168.52777245409249,20.523137041266512,,,,,"{""phot_g_mean_mag"": 2.5716317}"
6170243926896213120,star,207.36109585015143,-34.45104050001724,,,,,"{""phot_g_mean_mag"": 2.5794034}"
5099455184968674560,star,49.87942190770887,-21.75771998267506,94.20392654065516,52.7739441986668,32.718263924053616,,"{""phot_g_mean_mag"": 2.5895581}"
5502164890740285696,star,102.48426657164552,-50.61484787877496,53.311402361350666,32.618184414772365,-69.56573406322882,,"{""phot_g_mean_mag"": 2.6184993}"
3736865265441207424,star,195.54291476874843,10.95923674149768,33.10057304613018,-273.792912720649,19.803882348563043,,"{""phot_g_mean_mag"": 2.619051}"
2968097043228517120,star,82.06131804802973,-20.759815662845018,47.91627903842823,-5.747658161056199,-83.64984625289725,,"{""phot_g_mean_mag"": 2.627176}"
3490234568129160704,star,182.5308213695673,-22.61972201098973,94.35407499539694,-72.01853020892453,10.636922874839016,,"{""phot_g_mean_mag"": 2.6297014}"
6319542659461082752,star,229.25128229268975,-9.383003328572958,,,,,"{""phot_g_mean_mag"": 2.6346583}"
5512070906394195968,star,112.30725962073404,-43.300592607109294,58.74276042962516,-61.62816586114198,189.6272204088372,,"{""phot_g_mean_mag"": 2.6405158}"
3384529341302871296,star,100.98300597068412,25.131074836391477,266.83360492998213,-4.853370650365749,-11.780095106031592,,"{""phot_g_mean_mag"": 2.6483977}"
447071293401293056,star,46.19914439438418,53.50642323794812,70.79565843918868,-14.193633797013735,-8.684344352814376,,"{""phot_g_mean_mag"": 2.651}"
2026116260337482112,star,292.6803397469523,27.959624176962155,111.33918878777867,4.915363569551001,-11.12720890145098,,"{""phot_g_mean_mag"": 2.651682}"
2900546759663847168,star,84.91226376039107,-34.07421247244894,87.71324719493096,1.6847124451941056,-24.344562451710896,,"{""phot_g_mean_mag"": 2.6532035}"
2962546605447869184,star,76.36538394458108,-22.37136760251376,64.10294092071007,24.048504491467565,-74.95097440824634,,"{""phot_g_mean_mag"": 2.6534927}"
779106556394253824,star,167.41547770774767,44.4983642995888,43.05292316444718,-62.62009416691988,-27.777557179537723,,"{""phot_g_mean_mag"": 2.68003}"
510204838759030144,star,21.45661245731054,60.23506761138098,31.22099940706484,296.4200795981312,-49.12702186535588,,"{""phot_g_mean_mag"": 2.6805298}"
4683897617110115200,star,6.482504988433097,-77.25279546754571,7.478346136538074,2218.9845482530773,326.44454180123256,,"{""phot_g_mean_mag"": 2.6807318}"
5908509891197204480,star,224.6328043703396,-43.13413617160934,,,,,"{""phot_g_mean_mag"": 2.6952581}"
5855593454594292736,star,189.29540488035568,-69.1356236855019,,,,,"{""phot_g_mean_mag"": 2.6997497}"
1339952869195300608,star,258.7616572468772,36.8091745480388,112.37136413490882,-27.40209075014929,2.924771069071474,,"{""phot_g_mean_mag"": 2.7025177}"
5859405805013401984,star,184.39008382548533,-67.96085330413052,100.0851109378811,-230.607030300514,-26.205687717494957,,"{""phot_g_mean_mag"": 2.7034264}"
2671038928727970944,star,322.8898027828743,-5.571211107815946,167.42607502984592,19.213674953612266,-8.16294285004504,,"{""phot_g_mean_mag"": 2.7120852}"
